DATE,GDPPOT
1960-01-01,3240.5569819606300
1960-04-01,3273.035767297590
1960-07-01,3305.9678301042300
1960-10-01,3338.8400839437400
1961-01-01,3372.348172113430
1961-04-01,3405.198098522490
1961-07-01,3439.5582726808400
1961-10-01,3474.246141004580
1962-01-01,3510.0321060600300
1962-04-01,3546.73680994665
1962-07-01,3584.3706512822200
1962-10-01,3622.710720505760
1963-01-01,3661.580587104750
1963-04-01,3701.2983398577000
1963-07-01,3741.7583335251000
1963-10-01,3783.032548128090
1964-01-01,3824.393577413390
1964-04-01,3866.7394088435300
1964-07-01,3909.521068541690
1964-10-01,3952.517870249200
1965-01-01,3996.770933326360
1965-04-01,4040.3756535129900
1965-07-01,4085.6458255755300
1965-10-01,4131.454966077460
1966-01-01,4178.042078924180
1966-04-01,4225.265899863100
1966-07-01,4273.246785044240
1966-10-01,4321.105281766500
1967-01-01,4369.763763374420
1967-04-01,4418.79858363445
1967-07-01,4468.20627124683
1967-10-01,4518.821566410990
1968-01-01,4570.0499457544300
1968-04-01,4621.424116550920
1968-07-01,4673.996260785770
1968-10-01,4727.436143187220
1969-01-01,4778.893603877030
1969-04-01,4827.817073688910
1969-07-01,4874.040053435480
1969-10-01,4918.034523098230
1970-01-01,4959.984849680120
1970-04-01,4999.849298858740
1970-07-01,5038.0944759976900
1970-10-01,5075.193761324490
1971-01-01,5112.189775353600
1971-04-01,5149.917015201790
1971-07-01,5188.146693254340
1971-10-01,5227.005093053340
1972-01-01,5266.583057487240
1972-04-01,5306.6731757701100
1972-07-01,5347.40191091043
1972-10-01,5388.738466922080
1973-01-01,5431.5049130638000
1973-04-01,5476.899643258710
1973-07-01,5523.232155092160
1973-10-01,5570.972189238870
1974-01-01,5619.702366101780
1974-04-01,5669.052473699290
1974-07-01,5718.051279482440
1974-10-01,5766.603009833840
1975-01-01,5814.02353309364
1975-04-01,5860.4905355551900
1975-07-01,5906.553026897530
1975-10-01,5952.680375053200
1976-01-01,5998.745672430790
1976-04-01,6045.558309443010
1976-07-01,6093.807141317820
1976-10-01,6142.83479706213
1977-01-01,6193.407408526900
1977-04-01,6245.184962159840
1977-07-01,6297.735475504750
1977-10-01,6351.714409904280
1978-01-01,6406.995154904420
1978-04-01,6463.3544265837100
1978-07-01,6521.24657909805
1978-10-01,6580.109450960240
1979-01-01,6640.643752474350
1979-04-01,6697.852397520380
1979-07-01,6750.5232274894600
1979-10-01,6798.049167554750
1980-01-01,6839.712128879800
1980-04-01,6874.80576346244
1980-07-01,6903.225209518720
1980-10-01,6934.664397893560
1981-01-01,6971.899149872020
1981-04-01,7013.785451775330
1981-07-01,7059.796449376110
1981-10-01,7109.741915824220
1982-01-01,7162.951789592270
1982-04-01,7218.805704610410
1982-07-01,7276.910124310890
1982-10-01,7337.036575225990
1983-01-01,7397.139919990260
1983-04-01,7458.62559040705
1983-07-01,7521.808113266450
1983-10-01,7587.435087331010
1984-01-01,7655.4853762806000
1984-04-01,7725.923424010810
1984-07-01,7798.036307143820
1984-10-01,7871.423318999560
1985-01-01,7945.223888667370
1985-04-01,8019.532010722650
1985-07-01,8093.913103603810
1985-10-01,8167.85793088431
1986-01-01,8241.316893044120
1986-04-01,8314.448914131840
1986-07-01,8387.524963410960
1986-10-01,8460.444322777690
1987-01-01,8532.945538552430
1987-04-01,8604.90603330004
1987-07-01,8676.496044323750
1987-10-01,8748.099694401240
1988-01-01,8819.106865402990
1988-04-01,8890.163267765190
1988-07-01,8960.855050454990
1988-10-01,9031.627069437800
1989-01-01,9102.053678837650
1989-04-01,9172.37757837736
1989-07-01,9242.446687403400
1989-10-01,9311.574564049690
1990-01-01,9378.969549045810
1990-04-01,9444.94671414353
1990-07-01,9508.796541563330
1990-10-01,9570.562534172260
1991-01-01,9630.761591784770
1991-04-01,9689.333340457990
1991-07-01,9746.971292976170
1991-10-01,9804.557723106320
1992-01-01,9862.360004608340
1992-04-01,9921.054354304010
1992-07-01,9981.222768450640
1992-10-01,10042.225395793600
1993-01-01,10104.28549115220
1993-04-01,10167.904553345900
1993-07-01,10232.323591325700
1993-10-01,10297.687099464200
1994-01-01,10363.663172299100
1994-04-01,10430.077662567200
1994-07-01,10497.708571456400
1994-10-01,10566.161626290400
1995-01-01,10635.057048150800
1995-04-01,10704.927323519300
1995-07-01,10775.431156951600
1995-10-01,10847.580734184800
1996-01-01,10921.013273989900
1996-04-01,10999.742671032800
1996-07-01,11084.863544327700
1996-10-01,11175.983335479200
1997-01-01,11272.953156506400
1997-04-01,11375.01808480780
1997-07-01,11482.488311745900
1997-10-01,11594.153401285900
1998-01-01,11709.606771975600
1998-04-01,11828.738996838800
1998-07-01,11950.246572517200
1998-10-01,12073.956160846500
1999-01-01,12200.417787991100
1999-04-01,12328.416606045500
1999-07-01,12458.534454504100
1999-10-01,12590.942405983200
2000-01-01,12724.993897533100
2000-04-01,12856.993312235800
2000-07-01,12985.123975009600
2000-10-01,13108.302998106700
2001-01-01,13226.969011764800
2001-04-01,13340.260831825000
2001-07-01,13448.362685476000
2001-10-01,13551.332468507300
2002-01-01,13649.813230433700
2002-04-01,13745.245464599300
2002-07-01,13838.732673410300
2002-10-01,13931.16616580050
2003-01-01,14023.221775348800
2003-04-01,14116.165961180200
2003-07-01,14209.648892903600
2003-10-01,14304.477445019100
2004-01-01,14401.404820330000
2004-04-01,14500.313675278600
2004-07-01,14601.547560219400
2004-10-01,14704.341849976500
2005-01-01,14805.128768541500
2005-04-01,14902.761338533200
2005-07-01,14998.254879213600
2005-10-01,15091.012117963900
2006-01-01,15180.824976377300
2006-04-01,15267.937985637800
2006-07-01,15350.511390627600
2006-10-01,15428.12187426340
2007-01-01,15502.844117193900
2007-04-01,15577.756159566700
2007-07-01,15652.890280641300
2007-10-01,15727.034264922600
2008-01-01,15799.786250189400
2008-04-01,15869.51776038940
2008-07-01,15934.982685710800
2008-10-01,15995.8355279234
2009-01-01,16050.853308878900
2009-04-01,16101.755526176800
2009-07-01,16149.394810081900
2009-10-01,16195.569799614100
2010-01-01,16241.894084484200
2010-04-01,16289.80128499570
2010-07-01,16340.06518372500
2010-10-01,16392.416142593400
2011-01-01,16447.07489202450
2011-04-01,16503.935482813900
2011-07-01,16563.033536792800
2011-10-01,16623.74732212250
2012-01-01,16686.037415326200
2012-04-01,16750.28202084450
2012-07-01,16816.112363397100
2012-10-01,16883.240265558200
2013-01-01,16951.532072707600
2013-04-01,17021.285852398300
2013-07-01,17091.75992705780
2013-10-01,17163.445693231000
2014-01-01,17236.138039511700
2014-04-01,17309.742618640400
2014-07-01,17384.61267531700
2014-10-01,17460.181332050900
2015-01-01,17535.755315110800
2015-04-01,17611.745032699600
2015-07-01,17687.018166217000
2015-10-01,17761.45
2016-01-01,17836.03
2016-04-01,17908.6
2016-07-01,17980.67
