DATE,PCEPI
1960-01-01,16.3603333333333333
1960-04-01,16.4456666666666667
1960-07-01,16.5070000000000000
1960-10-01,16.5803333333333333
1961-01-01,16.6113333333333333
1961-04-01,16.6086666666666667
1961-07-01,16.6686666666666667
1961-10-01,16.6870000000000000
1962-01-01,16.7590000000000000
1962-04-01,16.8183333333333333
1962-07-01,16.8633333333333333
1962-10-01,16.9150000000000000
1963-01-01,16.9636666666666667
1963-04-01,16.9903333333333333
1963-07-01,17.0723333333333333
1963-10-01,17.1356666666666667
1964-01-01,17.2163333333333333
1964-04-01,17.2540000000000000
1964-07-01,17.3106666666666667
1964-10-01,17.3680000000000000
1965-01-01,17.4243333333333333
1965-04-01,17.5120000000000000
1965-07-01,17.5773333333333333
1965-10-01,17.6313333333333333
1966-01-01,17.7676666666666667
1966-04-01,17.9126666666666667
1966-07-01,18.0490000000000000
1966-10-01,18.1883333333333333
1967-01-01,18.2413333333333333
1967-04-01,18.3280000000000000
1967-07-01,18.4983333333333333
1967-10-01,18.6573333333333333
1968-01-01,18.8560000000000000
1968-04-01,19.0490000000000000
1968-07-01,19.2460000000000000
1968-10-01,19.4590000000000000
1969-01-01,19.6476666666666667
1969-04-01,19.8976666666666667
1969-07-01,20.1413333333333333
1969-10-01,20.3740000000000000
1970-01-01,20.6103333333333333
1970-04-01,20.8380000000000000
1970-07-01,21.0410000000000000
1970-10-01,21.3140000000000000
1971-01-01,21.5156666666666667
1971-04-01,21.7610000000000000
1971-07-01,21.9746666666666667
1971-10-01,22.1110000000000000
1972-01-01,22.3443333333333333
1972-04-01,22.4733333333333333
1972-07-01,22.6706666666666667
1972-10-01,22.8556666666666667
1973-01-01,23.1310000000000000
1973-04-01,23.5756666666666667
1973-07-01,24.0046666666666667
1973-10-01,24.4960000000000000
1974-01-01,25.2250000000000000
1974-04-01,25.9390000000000000
1974-07-01,26.6393333333333333
1974-10-01,27.3160000000000000
1975-01-01,27.8300000000000000
1975-04-01,28.1716666666666667
1975-07-01,28.6990000000000000
1975-10-01,29.1806666666666667
1976-01-01,29.5020000000000000
1976-04-01,29.7483333333333333
1976-07-01,30.2003333333333333
1976-10-01,30.6780000000000000
1977-01-01,31.2313333333333333
1977-04-01,31.7656666666666667
1977-07-01,32.2433333333333333
1977-10-01,32.7020000000000000
1978-01-01,33.2383333333333333
1978-04-01,33.9206666666666667
1978-07-01,34.5170000000000000
1978-10-01,35.1686666666666667
1979-01-01,35.8313333333333333
1979-04-01,36.8100000000000000
1979-07-01,37.7236666666666667
1979-10-01,38.6366666666666667
1980-01-01,39.7963333333333333
1980-04-01,40.7706666666666667
1980-07-01,41.7240000000000000
1980-10-01,42.7566666666666667
1981-01-01,43.8653333333333333
1981-04-01,44.6016666666666667
1981-07-01,45.3360000000000000
1981-10-01,46.0310000000000000
1982-01-01,46.6156666666666667
1982-04-01,47.0643333333333333
1982-07-01,47.8080000000000000
1982-10-01,48.3353333333333333
1983-01-01,48.7346666666666667
1983-04-01,49.1806666666666667
1983-07-01,49.8270000000000000
1983-10-01,50.1556666666666667
1984-01-01,50.6976666666666667
1984-04-01,51.1886666666666667
1984-07-01,51.5836666666666667
1984-10-01,51.9016666666666667
1985-01-01,52.5140000000000000
1985-04-01,52.9400000000000000
1985-07-01,53.3553333333333333
1985-10-01,53.7273333333333333
1986-01-01,54.1083333333333333
1986-04-01,54.0510000000000000
1986-07-01,54.3360000000000000
1986-10-01,54.6646666666666667
1987-01-01,55.1793333333333333
1987-04-01,55.7113333333333333
1987-07-01,56.2390000000000000
1987-10-01,56.7250000000000000
1988-01-01,57.1726666666666667
1988-04-01,57.8043333333333333
1988-07-01,58.5163333333333333
1988-10-01,59.1083333333333333
1989-01-01,59.7873333333333333
1989-04-01,60.5930000000000000
1989-07-01,60.9500000000000000
1989-10-01,61.4296666666666667
1990-01-01,62.3203333333333333
1990-04-01,62.8856666666666667
1990-07-01,63.6850000000000000
1990-10-01,64.5273333333333333
1991-01-01,64.8666666666666667
1991-04-01,65.2206666666666667
1991-07-01,65.6636666666666667
1991-10-01,66.1403333333333333
1992-01-01,66.5546666666666667
1992-04-01,66.9976666666666667
1992-07-01,67.4246666666666667
1992-10-01,67.8950000000000000
1993-01-01,68.2993333333333333
1993-04-01,68.7583333333333333
1993-07-01,69.0566666666666667
1993-10-01,69.4546666666666667
1994-01-01,69.7033333333333333
1994-04-01,70.0926666666666667
1994-07-01,70.5956666666666667
1994-10-01,70.9273333333333333
1995-01-01,71.2740000000000000
1995-04-01,71.6886666666666667
1995-07-01,71.9816666666666667
1995-10-01,72.2980000000000000
1996-01-01,72.7000000000000000
1996-04-01,73.1866666666666667
1996-07-01,73.4986666666666667
1996-10-01,73.9993333333333333
1997-01-01,74.3260000000000000
1997-04-01,74.5123333333333333
1997-07-01,74.7090000000000000
1997-10-01,74.9433333333333333
1998-01-01,74.9490000000000000
1998-04-01,75.0843333333333333
1998-07-01,75.3166666666666667
1998-10-01,75.5150000000000000
1999-01-01,75.7126666666666667
1999-04-01,76.1266666666666667
1999-07-01,76.5306666666666667
1999-10-01,76.9823333333333333
2000-01-01,77.6243333333333333
2000-04-01,77.9726666666666667
2000-07-01,78.4550000000000000
2000-10-01,78.8886666666666667
2001-01-01,79.4226666666666667
2001-04-01,79.7950000000000000
2001-07-01,79.8423333333333333
2001-10-01,79.8913333333333333
2002-01-01,80.0410000000000000
2002-04-01,80.6506666666666667
2002-07-01,81.0453333333333333
2002-10-01,81.4196666666666667
2003-01-01,81.9940000000000000
2003-04-01,82.0153333333333333
